=== Sniffer Log - 2026-06-03 12:20:51 ===
Interface: wlp108s0 | Filtre: tcp

[2026-06-03 12:20:40.834] TCP   | 172.20.10.5    :55126 -> 20.87.245.0    :443  
[2026-06-03 12:20:41.012] TCP   | 20.87.245.0    :443   -> 172.20.10.5    :55126
[2026-06-03 12:20:41.013] TCP   | 172.20.10.5    :55126 -> 20.87.245.0    :443  
[2026-06-03 12:20:41.014] TCP   | 172.20.10.5    :55126 -> 20.87.245.0    :443  
[2026-06-03 12:20:41.374] TCP   | 172.20.10.5    :55126 -> 20.87.245.0    :443  
[2026-06-03 12:20:41.958] TCP   | 172.20.10.5    :55126 -> 20.87.245.0    :443  
[2026-06-03 12:20:43.046] TCP   | 172.20.10.5    :55126 -> 20.87.245.0    :443  
[2026-06-03 12:20:43.611] TCP   | 172.20.10.5    :46108 -> 104.21.67.235  :443  
[2026-06-03 12:20:43.777] TCP   | 104.21.67.235  :443   -> 172.20.10.5    :46108
[2026-06-03 12:20:43.778] TCP   | 172.20.10.5    :46108 -> 104.21.67.235  :443  
[2026-06-03 12:20:43.779] TCP   | 172.20.10.5    :46108 -> 104.21.67.235  :443  
[2026-06-03 12:20:44.118] TCP   | 172.20.10.5    :46108 -> 104.21.67.235  :443  
[2026-06-03 12:20:44.454] TCP   | 172.20.10.5    :47368 -> 54.80.233.183  :4318 
[2026-06-03 12:20:44.622] TCP   | 172.20.10.5    :46108 -> 104.21.67.235  :443  
[2026-06-03 12:20:45.222] TCP   | 172.20.10.5    :55126 -> 20.87.245.0    :443  
[2026-06-03 12:20:45.670] TCP   | 172.20.10.5    :46108 -> 104.21.67.235  :443  
[2026-06-03 12:20:47.718] TCP   | 172.20.10.5    :46108 -> 104.21.67.235  :443  
[2026-06-03 12:20:49.574] TCP   | 172.20.10.5    :55126 -> 20.87.245.0    :443  
[2026-06-03 12:20:51.110] TCP   | 172.20.10.5    :59722 -> 34.107.221.82  :80   
