=== Sniffer Log - 2026-06-15 11:22:18 ===
Interface: wlp108s0 | Filtre: aucun

[2026-06-15 10:51:45.028] UDP   | 172.20.10.5    :123   -> 196.216.216.24 :123  
[2026-06-15 10:51:45.028] UDP   | 172.20.10.5    :123   -> 196.10.52.58   :123  
[2026-06-15 10:51:45.070] UDP   | 196.216.216.24 :123   -> 172.20.10.5    :123  
[2026-06-15 10:51:45.315] UDP   | 196.10.52.58   :123   -> 172.20.10.5    :123  
[2026-06-15 10:51:46.663] TCP   | 172.20.10.5    :32774 -> 151.101.129.91 :443  
[2026-06-15 10:51:46.708] UDP   | 172.20.10.5    :19679 -> 172.20.10.1    :53   
[2026-06-15 10:51:46.708] UDP   | 172.20.10.5    :16431 -> 172.20.10.1    :53   
[2026-06-15 10:51:46.751] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :16431
[2026-06-15 10:51:46.759] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :19679
[2026-06-15 10:51:46.760] TCP   | 172.20.10.5    :36170 -> 185.199.110.133:443  
[2026-06-15 10:51:46.856] TCP   | 185.199.110.133:443   -> 172.20.10.5    :36170
[2026-06-15 10:51:46.856] TCP   | 172.20.10.5    :36170 -> 185.199.110.133:443  
[2026-06-15 10:51:46.858] TCP   | 172.20.10.5    :36170 -> 185.199.110.133:443  
[2026-06-15 10:51:47.028] UDP   | 172.20.10.5    :123   -> 196.216.216.24 :123  
[2026-06-15 10:51:47.028] UDP   | 172.20.10.5    :123   -> 196.10.52.58   :123  
[2026-06-15 10:51:47.031] TCP   | 185.199.110.133:443   -> 172.20.10.5    :36170
[2026-06-15 10:51:47.032] TCP   | 151.101.129.91 :443   -> 172.20.10.5    :32774
[2026-06-15 10:51:47.032] TCP   | 151.101.129.91 :443   -> 172.20.10.5    :32774
[2026-06-15 10:51:47.032] TCP   | 185.199.110.133:443   -> 172.20.10.5    :36170
[2026-06-15 10:51:47.032] TCP   | 185.199.110.133:443   -> 172.20.10.5    :36170
[2026-06-15 10:51:47.032] TCP   | 172.20.10.5    :36170 -> 185.199.110.133:443  
[2026-06-15 10:51:47.032] TCP   | 172.20.10.5    :36170 -> 185.199.110.133:443  
[2026-06-15 10:51:47.072] TCP   | 172.20.10.5    :32774 -> 151.101.129.91 :443  
[2026-06-15 10:51:47.074] TCP   | 172.20.10.5    :36170 -> 185.199.110.133:443  
